Sudoku,solution
B07805E0300AD0CG004007000C0FA002A0000000000437000050009F000000080400B8000E07930000E37C0000FDB0049F07005D03000080500D0F3024A8C0G008000000B0000GD500D000000800F0E000A090F0067000BC000C0AB0000E72407A090B1000500630D0CEF070A00008000000E0A00D0050000635G9C00B00E000,B97815E4326ADFCGGE4137D68C9FAB52ADF6C28BG514379E3C52AG9FD7EB1468C46AB8215EG793FD82E37CGA69FDB5149FG74E5DC3B12A8651BD6F3924A8CEG7E89F2147BAC36GD547DB536C182GF9EA23AG9DFE467581BC651C8ABG9FDE72437A89DB12EG5C463FDBCEF475A136G8291G24E6A3FD895C7BF635G9C87B42EDA1
D06100900200500GC0000100000000F0B0000G02D000340889E0000040G00CA00F0G000D15082B93069070GB3A000080020D100E000B00C5A000C020EG40F000000F0B18200000000405A0070CDG800F0080000C00700042900E25000F3007D00D23000000EAG00048A000E0005FB0360E57B0F0000000000000000000007020,D7613894F2AC5EBGCG34D1A658BE92F7B5FAEGC2D197346889E257BF43G6DCA1EF7G4A6D15C82B93569C7FGB3A2DE184324D198E76FBAGC5A1B8C325EG49F67D73DF9B182E64C5GA2415A637BCDG89EFGB86FEDCA97513429ACE254G8F3167DB1D2384796BEAGF5C48A9G2E1C75FBD366E57BCF3GD824A19FCGB6D5A9413782E
0EG03FB0040860070000A0E200C000F000620095A0D0000800D00060F300000C00F070C0G0500E4ADAB7000E1C30F006EC30D04000000002080000A0000D005B000015049FB7800E0000E0000D02000070A000F0CE00000900060C0980000FB0F60C5B0009000080B04E00DF70A0000001200800B00G00900009000A30050C70,CEGA3FB1249865D7871BADE25GC649F33F62C495A7D1GBE859D4876GF3EB12AC62F173C8GB59DE4ADAB7925E1C34F8G6EC35DG4B6A8F9712489GF1A6E27DC35B23CD15G49FB78A6E9B5FEA874D6231CG7GA8B6FDCE13542914E62C3985GA7FBDF67C5B13D92EAG84B54EG9DF78AC2631A123487CB6FGED95GD896E2A3145BC7F
5E00F00009D00070000000D00036000000A007090G00400F000008C247FE0GD0B00D401F008G0AE03000A0000F1000900000D6509000F000A0607200350000G0000G50000003204043E50D001C900FA0F00090E02B00805D1D0980300000006084D03F005E000000600C000G040B70000F9A00240070G000007005000102E009,5EGBF34AC9D1627827F4GED5A83691BCDCA81769BG254E3F9631B8C247FEAGD5B95D4C1F768G3AE23287ABGEDF145C96CG4ED65392BAF817A16F729835ECDBG478BG5AFCED63294143E52D761C98BFAGFAC69GE12B47835D1D29843BGA5FC76E84D23FB75EG916CA651CE98GF4AB7D23EF9AC124637DG58BGB7365AD81C2E4F9
00BAF040890D0000C000000E70A00549070200180000600000FE0B302000100880G00E0040000F62000CA400D60F30500FD60000A080010B00070C09000GA0E000000860E0F00C00E00D000A0C54008F00A0000B0800090300093D0000B00405000F09A0C005BD007000G001003B0000080B7500F0009A00A06000DC90400E07,G1BAF64589ED237CC638D2GE7BA1F5499742CA185FG36BDED5FE9B3724C61GA88AG31EBD4597CF62B9ECA482D61F375G2FD65G73AE8C419B14576CF9B32GA8ED5321486GEDF97CBAEB7D219A3C54G68FFCA4E75BG862D9136G893DCF17BAE4253E1F89A4C275BDG67D95GFE16A3B82C448CB7526FGDE9A31A26GB3DC91485EF7
0000D0000GC000503000G0B04007E009FE0107002080GC3D0B0A120C00530000AD0F51000B0E9000004000G0000A80600C0E9800F27001D00027A03009G400E02000B00G000C5D700G10002070E0B0AF5A00C00604D02000E003801F5A00000410A900D0000000G000000040E00070B5007B00000000000E0000000000B00986,7482D6E39GCFAB5136DCG5B841A7E2F9FE51479A268BGC3DGB9A12FCDE536847AD3F51C78B6E942G91452FGECD3A876BBCGE9864F27531DA6827AB3D19G4F5EC2964BEAG3F1C5D78CG1D342578E9B6AF5AF8C976B4DG2E13E7B38D1F5A26CG9415A9ECDB67F843G282C6FG41E39D7AB5D37B6A89G5421FCE4FEG7352ACB1D986
0E095001G0000A0F0D6800E00F0039000C000076004A80E000B02CDFE0001500000F000D090000027A00GE500C080000B8D4C302FA060000C900800050E00D00D000E508001467A00400020000000800A6F0700B0000D000000E301AD029B0000500B00000A00F0800000000C00FAE0DEF0C0000B00D9600400200000E00CB30,2E495831GB6C7ADF1D684AEG7F5239CBFC539B761D4A82EGG7BA2CDFE893154653EFA16D49B7GC827A16GE542CD8F3B9B8D4C392FAG6517EC92G8FB753E14D6AD29BE5F83G1467AC3475D2GCA6FBE891A6F1794B85CEDG238GCE361AD729B4F5653DB7CE94AG2F189B876425C13FAEGDEFAC1G83B27D965441G2FDA96E85CB37
0360000400020CB0CF00000G00100D00200ED78000GB0FA0D0006B9F3000000004250009000C0000600BE8A04070F0000D000C0005080000008C70FB9D0004E0A0020000B84756F000D000061EF00200E5000320609A000C00000A00C0000890F05900100000000BBC710F3E2400008040A0000D0900000E000D0000003ECA0F,536GA1E4DF829CB7CFBA325GE7198D64294ED78C56GB3FA1D7186B9F3AC42EG5G4251D69FBECA738619BE8A2437GF5CD7DEF4CG3A5286B193A8C75FB9D61G4E2AGC29ED1B84756F398D45GC61EF3B27AE5F7B3286G9A41DC1B36FA47C25DE89GFE59841AGCD6732BBC71GF3E24A5D98642A3C67D89BF1G5E86GD29B5713ECA4F
00BAF040890D0000C000000E70A00549070200180000600000FE0B302000100880G00E0040000F62000CA400D60F30500FD60000A080010B00070C09000GA0E000000860E0F00C00E00D000A0C54008F00A0000B0800090300093D0000B00405000F09A0C005BD007000G001003B0000080B7500F0009A00A06000DC90400E07,G1BAF64589ED237CC638D2GE7BA1F5499742CA185FG36BDED5FE9B3724C61GA88AG31EBD4597CF62B9ECA482D61F375G2FD65G73AE8C419B14576CF9B32GA8ED5321486GEDF97CBAEB7D219A3C54G68FFCA4E75BG862D9136G893DCF17BAE4253E1F89A4C275BDG67D95GFE16A3B82C448CB7526FGDE9A31A26GB3DC91485EF7
3B059A002D00000F0079040100E0G0CD200000000A00B073400A0G007FC0000000060078B00000100C00020G84A0D9050A00400900030027F00D36C00G0200ABC0007084G0B0300000E30D10C00000G9000700650040000A9600C002000015E00300000D009B0100000000A0F050603008001E00A20G00F4006EG70000005000,3BC59AE72DG1864F6F7984213BE5GACD2D1G6F5C4A89BE734E8ADGB37FC69251G246A578B9FDE31CEC31B2FG84A7D9655AB841D9EC63FG27F79D36CE5G1248ABC1A27984G5BE3FD6B5E3FD1AC62874G98GD7E365914F2CBA96F4CBG2D37A15E8732F5C4D6E9BA18G19GC28ABF7546D3ED85B1E96A23GC7F4A46EG73F18DC5B92
